fold,model,mae,rmse,r2,spearman,top10_prec
1,baseline,2.2759,3.1685,-0.1527,0.1167,0.1395
1,baseline_home,2.3644,3.2615,-0.1569,0.1038,0.2526
1,baseline_away,2.1891,3.0746,-0.1663,0.13,0.2737
1,baseline_vs_top6,2.2126,3.0479,-0.2741,0.0901,0.4079
1,baseline_vs_rest,2.3035,3.2198,-0.1469,0.1277,0.1553
1,ridge,2.1438,2.8546,0.0644,0.3082,0.2079
1,ridge_home,2.3581,2.9783,0.0353,0.2658,0.3053
1,ridge_away,1.9337,2.7279,0.0819,0.3097,0.3158
1,ridge_vs_top6,1.7891,2.6692,0.0228,0.197,0.4553
1,ridge_vs_rest,2.2987,2.9319,0.049,0.2527,0.2237
1,lgbm,2.3071,3.0491,-0.0674,0.2092,0.1658
1,lgbm_home,2.4912,3.1825,-0.1016,0.1839,0.2921
1,lgbm_away,2.1265,2.9123,-0.0464,0.1855,0.2789
1,lgbm_vs_top6,2.122,2.8981,-0.152,0.0805,0.3711
1,lgbm_vs_rest,2.388,3.1127,-0.0719,0.1962,0.2026
2,baseline,2.1675,2.9579,-0.1502,0.1552,0.1342
2,baseline_home,2.1435,2.9212,-0.1469,0.1603,0.2579
2,baseline_away,2.1908,2.9931,-0.1535,0.1495,0.2737
2,baseline_vs_top6,1.9416,2.6112,-0.2769,0.1248,0.4079
2,baseline_vs_rest,2.2658,3.0967,-0.1417,0.1621,0.1868
2,ridge,2.0381,2.6801,0.0557,0.273,0.1947
2,ridge_home,2.1394,2.6764,0.0372,0.2557,0.3316
2,ridge_away,1.9395,2.6836,0.0727,0.3022,0.3421
2,ridge_vs_top6,1.5356,2.281,0.0256,0.2301,0.4184
2,ridge_vs_rest,2.2568,2.8363,0.0422,0.2433,0.2632
2,lgbm,2.104,2.7843,-0.0192,0.1951,0.1842
2,lgbm_home,2.2011,2.7767,-0.0362,0.1743,0.3026
2,lgbm_away,2.0097,2.7918,-0.0035,0.2163,0.2947
2,lgbm_vs_top6,1.6573,2.4045,-0.0827,0.0881,0.3789
2,lgbm_vs_rest,2.2985,2.9344,-0.0252,0.1764,0.2184
3,baseline,2.5512,3.4723,-0.2004,0.1324,0.1667
3,baseline_home,2.5916,3.5122,-0.2328,0.1035,0.225
3,baseline_away,2.5118,3.433,-0.1815,0.1612,0.2292
3,baseline_vs_top6,2.5024,3.327,-0.3947,0.0886,0.3875
3,baseline_vs_rest,2.5723,3.5332,-0.1587,0.1487,0.2125
3,ridge,2.2309,3.1299,0.0247,0.2497,0.1333
3,ridge_home,2.3226,3.1721,-0.0056,0.2032,0.2417
3,ridge_away,2.1414,3.0881,0.044,0.252,0.3667
3,ridge_vs_top6,1.9108,2.8634,-0.0331,0.1793,0.4292
3,ridge_vs_rest,2.369,3.2381,0.0268,0.2328,0.2
3,lgbm,2.265,3.1812,-0.0075,0.21,0.1583
3,lgbm_home,2.3547,3.2339,-0.0452,0.1714,0.2542
3,lgbm_away,2.1775,3.1288,0.0186,0.2139,0.3208
3,lgbm_vs_top6,1.9344,2.9177,-0.0727,0.1366,0.3625
3,lgbm_vs_rest,2.4077,3.2884,-0.0037,0.1943,0.2542
