fold,model,mae,rmse,r2,spearman,top10_prec
1,baseline,2.46,3.4755,-0.071,0.331,0.3816
1,baseline_home,2.5087,3.5956,-0.0212,0.3498,0.6611
1,baseline_away,2.4122,3.3535,-0.1438,0.3152,0.6351
1,baseline_vs_top6,2.2242,3.1063,-0.1282,0.3369,0.8105
1,baseline_vs_rest,2.5579,3.6179,-0.0643,0.3318,0.4974
1,ridge,2.1296,3.2698,0.052,0.3796,0.4368
1,ridge_home,2.3284,3.4516,0.0589,0.3807,0.6917
1,ridge_away,1.9346,3.0811,0.0345,0.3819,0.6514
1,ridge_vs_top6,1.7622,2.8967,0.019,0.3674,0.8053
1,ridge_vs_rest,2.2823,3.4129,0.0529,0.3783,0.5395
1,lgbm,2.3937,3.494,-0.0824,0.1568,0.3658
1,lgbm_home,2.5224,3.6886,-0.0747,0.164,0.5889
1,lgbm_away,2.2675,3.292,-0.1022,0.1442,0.573
1,lgbm_vs_top6,1.9849,3.037,-0.0784,0.1381,0.8105
1,lgbm_vs_rest,2.5636,3.6672,-0.0935,0.1473,0.4579
1,position_mean,2.4723,3.357,0.0008,0.0561,0.2816
1,position_mean_home,2.71,3.5592,-0.0006,,0.5528
1,position_mean_away,2.2391,3.1462,-0.0067,,0.5757
1,position_mean_vs_top6,2.2038,2.9307,-0.0043,0.0832,0.8158
1,position_mean_vs_rest,2.5839,3.519,-0.0069,0.0471,0.3947
1,elasticnet,2.3803,3.2736,0.0498,0.3845,0.4158
1,elasticnet_home,2.4963,3.4946,0.0354,0.3865,0.6722
1,elasticnet_away,2.2666,3.0414,0.0592,0.3843,0.6865
1,elasticnet_vs_top6,2.1382,2.8624,0.042,0.3691,0.8158
1,elasticnet_vs_rest,2.481,3.43,0.0433,0.3934,0.5474
1,bayesian_ridge,2.1922,3.2208,0.0802,0.4002,0.4368
1,bayesian_ridge_home,2.3916,3.4119,0.0805,0.4004,0.6917
1,bayesian_ridge_away,1.9967,3.0218,0.0713,0.4018,0.6757
1,bayesian_ridge_vs_top6,1.8241,2.8434,0.0547,0.3917,0.8263
1,bayesian_ridge_vs_rest,2.3452,3.3653,0.0791,0.3976,0.5474
1,lasso,2.4887,3.3627,-0.0026,,0.2395
1,lasso_home,2.6042,3.5793,-0.012,,0.5528
1,lasso_away,2.3755,3.1359,-0.0002,,0.5757
1,lasso_vs_top6,2.2176,2.9366,-0.0082,,0.8421
1,lasso_vs_rest,2.6014,3.5247,-0.0102,,0.3921
1,xgb,2.4279,3.37,-0.007,0.261,0.4132
1,xgb_home,2.5412,3.5422,0.0089,0.2649,0.6194
1,xgb_away,2.3169,3.1923,-0.0364,0.2553,0.6189
1,xgb_vs_top6,1.9983,2.9319,-0.005,0.2564,0.8
1,xgb_vs_rest,2.6065,3.5362,-0.0168,0.242,0.5053
1,random_forest,2.5047,3.2588,0.0584,0.3547,0.4263
1,random_forest_home,2.5685,3.3928,0.0907,0.385,0.6611
1,random_forest_away,2.4422,3.1218,0.0088,0.3195,0.6568
1,random_forest_vs_top6,2.2223,2.8975,0.0184,0.3186,0.8105
1,random_forest_vs_rest,2.6221,3.3977,0.0613,0.3598,0.5289
1,extra_trees,2.4552,3.2566,0.0596,0.303,0.3711
1,extra_trees_home,2.5507,3.4234,0.0742,0.3263,0.6389
1,extra_trees_away,2.3615,3.0843,0.0325,0.2712,0.627
1,extra_trees_vs_top6,2.1263,2.8319,0.0623,0.3273,0.8105
1,extra_trees_vs_rest,2.5919,3.4176,0.0502,0.285,0.5132
1,hist_gb,2.3439,3.443,-0.0511,0.2002,0.3711
1,hist_gb_home,2.4829,3.6514,-0.0531,0.2059,0.5917
1,hist_gb_away,2.2075,3.2257,-0.0583,0.1852,0.5838
1,hist_gb_vs_top6,1.9734,2.9997,-0.0521,0.1618,0.8158
1,hist_gb_vs_rest,2.4978,3.6113,-0.0604,0.1991,0.4684
1,poisson_glm,2.1178,3.2667,0.0538,0.3842,0.4368
1,poisson_glm_home,2.3248,3.4562,0.0565,0.3846,0.6972
1,poisson_glm_away,1.9148,3.0696,0.0417,0.3883,0.6568
1,poisson_glm_vs_top6,1.7398,2.8829,0.0282,0.3662,0.8053
1,poisson_glm_vs_rest,2.2749,3.4135,0.0526,0.3843,0.5447
1,fdr_mean,2.5019,3.4961,-0.0837,0.3412,0.3974
1,fdr_mean_home,2.5411,3.6023,-0.025,0.3617,0.6583
