fold,model,mae,rmse,r2,spearman,top10_prec
1,baseline,2.2969,2.9879,-0.2847,-0.0292,0.4919
1,baseline_home,2.3137,3.0314,-0.2576,-0.011,0.8571
1,baseline_away,2.2804,2.9446,-0.3175,-0.046,0.8769
1,baseline_vs_top6,2.2143,2.8734,-0.4149,0.0336,
1,baseline_vs_rest,2.3322,3.0355,-0.2618,-0.043,0.6973
1,ridge,2.177,2.7007,-0.0495,0.0876,0.5189
1,ridge_home,2.3387,2.7888,-0.0644,0.088,0.8714
1,ridge_away,2.0183,2.6112,-0.0361,0.086,0.8846
1,ridge_vs_top6,1.822,2.48,-0.054,0.0131,
1,ridge_vs_rest,2.3287,2.7896,-0.0657,0.0184,0.6973
1,lgbm,2.2578,2.8663,-0.1822,0.091,0.5108
1,lgbm_home,2.4347,2.9733,-0.2099,0.0429,0.8857
1,lgbm_away,2.0841,2.7572,-0.1552,0.1319,0.8923
1,lgbm_vs_top6,1.8846,2.6192,-0.1757,0.0774,
1,lgbm_vs_rest,2.4173,2.9656,-0.2043,0.046,0.7054
1,position_mean,2.2276,2.6705,-0.0263,0.0225,0.5243
1,position_mean_home,2.4074,2.7616,-0.0438,,0.9
1,position_mean_away,2.0511,2.578,-0.0099,,0.9231
1,position_mean_vs_top6,2.1543,2.5654,-0.1278,0.0017,
1,position_mean_vs_rest,2.259,2.7142,-0.0088,0.0307,0.7324
1,elasticnet,2.2273,2.6639,-0.0211,0.1118,0.5405
1,elasticnet_home,2.2904,2.7174,-0.0106,0.1198,0.8714
1,elasticnet_away,2.1654,2.6102,-0.0353,0.1055,0.8846
1,elasticnet_vs_top6,2.1193,2.5461,-0.1109,-0.0218,
1,elasticnet_vs_rest,2.2735,2.7126,-0.0076,0.0485,0.7162
1,bayesian_ridge,2.1705,2.6606,-0.0187,0.0923,0.5081
1,bayesian_ridge_home,2.3108,2.7425,-0.0294,0.0901,0.8857
1,bayesian_ridge_away,2.0326,2.5777,-0.0096,0.0885,0.8846
1,bayesian_ridge_vs_top6,1.8734,2.4538,-0.0318,0.028,
1,bayesian_ridge_vs_rest,2.2974,2.7442,-0.0313,0.0215,0.7
1,lasso,2.231,2.6682,-0.0244,,0.5297
1,lasso_home,2.2944,2.7218,-0.0138,,0.9
1,lasso_away,2.1687,2.6145,-0.0387,,0.9231
1,lasso_vs_top6,2.1516,2.5644,-0.1269,,
