fold,model,mae,rmse,r2,spearman,top10_prec
1,baseline,2.0047,3.0349,-0.0165,0.3317,0.1579
1,baseline_home,2.0562,3.1429,0.0105,0.3421,0.2711
1,baseline_away,1.9528,2.9222,-0.058,0.324,0.2632
1,baseline_vs_top6,1.8114,2.6857,-0.1633,0.3274,0.4079
1,baseline_vs_rest,2.0875,3.1728,0.0095,0.3328,0.2263
1,ridge,1.7746,2.8361,0.1123,0.4029,0.2132
1,ridge_home,1.9229,2.9906,0.1041,0.4078,0.3342
1,ridge_away,1.6255,2.6717,0.1156,0.3873,0.3447
1,ridge_vs_top6,1.4235,2.3561,0.1047,0.377,0.3868
1,ridge_vs_rest,1.9251,3.0185,0.1035,0.4009,0.2789
1,lgbm,1.8713,2.9621,0.0317,0.2999,0.1579
1,lgbm_home,1.9967,3.107,0.0329,0.3164,0.2842
1,lgbm_away,1.7452,2.8089,0.0224,0.2716,0.2842
1,lgbm_vs_top6,1.5373,2.4597,0.0242,0.2513,0.3579
1,lgbm_vs_rest,2.0145,3.153,0.0218,0.2991,0.2211
2,baseline,1.8973,2.92,-0.0381,0.3001,0.1789
2,baseline_home,1.9144,2.9446,-0.0578,0.2974,0.25
2,baseline_away,1.88,2.8948,-0.0183,0.3029,0.2658
2,baseline_vs_top6,1.7234,2.5917,-0.1024,0.2992,0.3553
2,baseline_vs_rest,1.9696,3.0459,-0.0273,0.3001,0.2105
2,ridge,1.791,2.6799,0.1256,0.3757,0.2342
2,ridge_home,1.8718,2.6839,0.1212,0.3783,0.3395
2,ridge_away,1.709,2.6758,0.1299,0.3907,0.3
2,ridge_vs_top6,1.4476,2.2913,0.1384,0.3775,0.4158
2,ridge_vs_rest,1.9335,2.8256,0.1159,0.3684,0.2579
2,lgbm,1.83,2.7508,0.0787,0.3401,0.1842
2,lgbm_home,1.9003,2.7565,0.073,0.3491,0.3026
2,lgbm_away,1.7587,2.7451,0.0843,0.3373,0.2974
2,lgbm_vs_top6,1.4972,2.377,0.0727,0.3142,0.4
2,lgbm_vs_rest,1.9682,2.8919,0.0739,0.3408,0.2368
3,baseline,2.0891,3.0455,-0.1076,0.2619,0.1083
3,baseline_home,2.202,3.2307,-0.0877,0.2477,0.2167
3,baseline_away,1.9747,2.8457,-0.147,0.277,0.1958
3,baseline_vs_top6,2.0282,2.8432,-0.2853,0.2004,0.2833
3,baseline_vs_rest,2.115,3.1276,-0.0619,0.2884,0.1458
3,ridge,1.9236,2.7771,0.079,0.3347,0.2083
3,ridge_home,2.0945,3.0002,0.062,0.3085,0.2833
3,ridge_away,1.7505,2.5313,0.0925,0.3517,0.2667
3,ridge_vs_top6,1.6846,2.4888,0.0151,0.2752,0.3167
3,ridge_vs_rest,2.0252,2.8911,0.0926,0.3654,0.2625
3,lgbm,1.9468,2.8223,0.0488,0.3044,0.1708
3,lgbm_home,2.1134,3.0658,0.0205,0.2922,0.25
3,lgbm_away,1.778,2.5523,0.0774,0.3056,0.2958
3,lgbm_vs_top6,1.7044,2.5149,-0.0056,0.2427,0.3083
3,lgbm_vs_rest,2.0499,2.9435,0.0595,0.3304,0.2458
