position,fold,alpha,mae
GK,1,0.1,2.1777
GK,1,0.5,2.1774
GK,1,1.0,2.177
GK,1,5.0,2.1744
GK,1,10.0,2.172
GK,2,0.1,2.0977
GK,2,0.5,2.0977
GK,2,1.0,2.0977
GK,2,5.0,2.098
GK,2,10.0,2.0983
GK,3,0.1,2.12
GK,3,0.5,2.1201
GK,3,1.0,2.1201
GK,3,5.0,2.1202
GK,3,10.0,2.1203
DEF,1,0.1,2.1437
DEF,1,0.5,2.1438
DEF,1,1.0,2.1438
DEF,1,5.0,2.1441
DEF,1,10.0,2.1446
DEF,2,0.1,2.0381
DEF,2,0.5,2.0381
DEF,2,1.0,2.0381
DEF,2,5.0,2.038
DEF,2,10.0,2.0379
DEF,3,0.1,2.2309
DEF,3,0.5,2.2309
DEF,3,1.0,2.2309
DEF,3,5.0,2.2309
DEF,3,10.0,2.2308
MID,1,0.1,1.7892
MID,1,0.5,1.7892
MID,1,1.0,1.7893
MID,1,5.0,1.7896
MID,1,10.0,1.7901
MID,2,0.1,1.7922
MID,2,0.5,1.7922
MID,2,1.0,1.7922
MID,2,5.0,1.7922
MID,2,10.0,1.7922
MID,3,0.1,1.9237
MID,3,0.5,1.9237
MID,3,1.0,1.9237
MID,3,5.0,1.9236
MID,3,10.0,1.9235
FWD,1,0.1,2.1669
FWD,1,0.5,2.167
FWD,1,1.0,2.1672
FWD,1,5.0,2.1684
FWD,1,10.0,2.1699
FWD,2,0.1,2.407
FWD,2,0.5,2.4071
FWD,2,1.0,2.4072
FWD,2,5.0,2.4078
FWD,2,10.0,2.4085
FWD,3,0.1,2.235
FWD,3,0.5,2.2351
FWD,3,1.0,2.2352
FWD,3,5.0,2.2359
FWD,3,10.0,2.2367
